>sample add.cl
(A <?> B = C)

100.0000 <?> 2.20 = 102.20
101.0000 <?> 2.20 = 103.20
102.0000 <?> 2.20 = 104.20
103.0000 <?> 2.20 = 105.20
104.0000 <?> 2.20 = 106.20
105.0000 <?> 2.20 = 107.20
106.0000 <?> 2.20 = 108.20
107.0000 <?> 2.20 = 109.20
108.0000 <?> 2.20 = 110.20
109.0000 <?> 2.20 = 111.20

>sample sub.cl
(A <?> B = C)

100.0000 <?> 2.20 = 97.80
101.0000 <?> 2.20 = 98.80
102.0000 <?> 2.20 = 99.80
103.0000 <?> 2.20 = 100.80
104.0000 <?> 2.20 = 101.80
105.0000 <?> 2.20 = 102.80
106.0000 <?> 2.20 = 103.80
107.0000 <?> 2.20 = 104.80
108.0000 <?> 2.20 = 105.80
109.0000 <?> 2.20 = 106.80

>sample mul.cl
(A <?> B = C)

100.0000 <?> 2.20 = 220.00
101.0000 <?> 2.20 = 222.20
102.0000 <?> 2.20 = 224.40
103.0000 <?> 2.20 = 226.60
104.0000 <?> 2.20 = 228.80
105.0000 <?> 2.20 = 231.00
106.0000 <?> 2.20 = 233.20
107.0000 <?> 2.20 = 235.40
108.0000 <?> 2.20 = 237.60
109.0000 <?> 2.20 = 239.80
